contigname	ERR011349_ERR011349
k79_13833	4.6701
k79_81	10.7795
k79_27622	8.99087
k79_32227	50.819
k79_82	2.04505
k79_32228	3.6729
k79_4640	7.93153
k79_27623	5.01365
k79_9261	7.82362
k79_32229	3.1
k79_9262	3.57616
k79_83	5.95852
k79_32230	2.4135
k79_84	6.4902
k79_32231	3.41667
k79_18443	7.58646
k79_9263	3.17812
k79_18444	5.67677
k79_32232	3.05932
k79_85	5.09091
k79_18445	5.07914
k79_86	1.64348
k79_9264	8.31429
k79_87	6.29032
k79_32233	3.49052
k79_32234	8.55856
k79_88	7.74436
k79_4641	8.31526
k79_32235	7.42553
k79_89	3.80508
k79_13834	7.87104
k79_9265	3.73946
k79_90	1.68085
k79_32236	5.49635
k79_9266	5.38117
k79_4642	4.15176
k79_32237	5.80412
k79_9267	2.96685
k79_91	10.1783
k79_9268	2.28758
k79_4643	9.78904
k79_92	4.58791
k79_4644	6.29167
k79_32238	6.168
k79_93	5.26005
k79_94	10.8132
k79_32239	6.81314
k79_4645	6.20256
k79_9269	6.01317
k79_32240	4.30909
k79_95	11.7611
k79_9270	4.38318
k79_32241	5.62838
k79_9271	2.93636
k79_18446	48.3639
k79_32242	2.34307
k79_96	7.17836
k79_18447	4.14607
k79_9272	4.09735
k79_9273	3.18966
k79_4646	9.47122
k79_97	3.68158
k79_4647	2.22018
k79_18448	7.05622
k79_9274	4.265
k79_4648	7.73272
k79_9275	5.18932
k79_18449	5.65157
k79_98	8.55754
k79_4649	3.19737
k79_9276	4.72581
k79_4650	4.00847
k79_18450	2.98881
k79_99	7.875
k79_9277	5.70323
k79_4651	5.00602
k79_32243	3.94937
k79_18451	9.56235
k79_9278	4.54598
k79_4652	5.47138
k79_9279	3.87006
k79_9280	3.85841
k79_18452	4.84095
k79_9281	4.90299
k79_4653	3.82079
k79_27624	4.5
k79_32244	7.03916
k79_9282	8.9256
k79_4654	2.40299
k79_27625	3.30657
k79_4655	7.59829
k79_32245	3.19286
k79_4656	3.2
k79_27626	5.01163
k79_32246	22.3842
k79_4657	5.06818
k79_27627	9.70229
k79_9283	10.3193
k79_4658	2.18085
k79_27628	6.63821
k79_9284	3.39409
k79_27629	3.42574
k79_9285	2.59441
k79_32247	8.28532
k79_9286	5.38095
k79_27630	4.42802
k79_32248	7.98214
k79_9287	4.77019
k79_9288	3.09184
k79_27631	6.79714
k79_4659	5.37003
k79_9289	4.23958
k79_32249	8.2795
k79_4660	9.59624
k79_27632	16.0849
k79_32250	3.25424
