contigs	predictions
k79_32217	2;976;200643;171549;815;816;820
k79_18431	2;976;200643;171549;815;909656;821
k79_23033	2;1239;526524;526525;2810280;2678885;1982626
k79_9229	2;1239;186801
k79_32218	2;976;200643;171549;2005525;375288;823
k79_50	2;1239;186801
k79_23034	2;976;200643;171549;815;816;820
k79_9230	2;1239;186801;3085636;186803;189330;88431
k79_18432	2;976;200643;171549;815;816
k79_32219	2;976;200643;171549;815;909656;821
k79_51	2;1239;186801;3085636;186803;207244;649756
k79_23035	2;1239;186801;3085636;186803;207244;649756
k79_18433	2;1239;186801;186802;216572;2892396;2714353
k79_52	
k79_32220	2;976;200643;171549;815;816;46506
k79_18434	2;1239;186801;186802;216572;1263;657323
k79_23036	2;976;200643;171549;815;909656;821
k79_9231	
k79_32221	2;976;200643;171549;815;909656;821
k79_53	2;976;200643;171549;2005525;375288;46503
k79_23037	
k79_18435	
k79_32222	
k79_18436	2;976;200643;171549;815;816;820
k79_23038	2;1239;186801;3085636;186803;207244;649756
k79_32223	
k79_23039	
k79_32224	2;1239;186801;186802;216572;2892396;2714353
k79_9232	131567
k79_18437	2;1239;91061;186826;81852;1350
k79_23040	2;1239;186801;3085636;186803;207244;649756
k79_32225	
k79_23041	
k79_32226	2;1239
k79_18438	2;1239;186801
k79_9233	2;976;200643;171549;815;816;28116
k79_23042	2;976;200643;171549;171552
k79_9234	2;1239;186801;3085636;186803;207244;649756
k79_23043	
k79_18439	
k79_23044	2;1239;186801;3085636;186803;2569097;39488
k79_9235	
k79_9236	2;1239;909932;1843489;31977;39948;2161821
k79_18440	2;1239;186801;3085636;186803;2569097;39488
k79_23045	2;976;200643;171549;815;909656;821
k79_9237	
k79_23046	
k79_9238	
k79_18441	
k79_9239	2;1239;186801;3085636;186803;1766253;39491
k79_23047	2;976;200643;171549;815;909656;821
k79_18442	2;976;200643;171549;815;816;820
k79_23048	2;1239;186801;3085636;186803;189330;88431
k79_54	2;1239;186801;3085636;186803;3342669;45851
k79_9240	2;976;200643;171549;815;909656;821
k79_23049	
k79_55	
k79_9241	2;976;200643;171549;815;909656;821
k79_23050	
k79_27594	2;976;200643;171549;815;816
k79_13814	2
k79_23051	
k79_27595	
k79_9242	2;976;200643;171549;815;909656;821
k79_23052	2;1239;186801;3085636;186803;207244;649756
k79_27596	
k79_13815	2;976;200643;171549;815;909656;821
k79_56	
k79_27597	2;976;200643;171549;815;816;820
k79_13816	2;976;200643;171549;815;816;820
k79_23053	2;1239;186801;186802;216572;1263;2564099
k79_9243	2;1239;186801;3085636;186803;207244;649756
k79_57	2;1239;186801;3085636;186803;2569097;39488
k79_27598	2;1239;186801;186802
k79_9244	2;1239;909932;1843489;31977;39948;2582419
k79_27599	2;976;200643;171549;815;909656;821
k79_58	2;1239;186801;3085636;186803;189330;88431
k79_13817	2;976;200643;171549;815;909656;821
k79_9245	
k79_27600	
k79_59	2;1239;186801;3085636;186803;189330;88431
k79_9246	
k79_13818	
k79_27601	2;1239;186801;3085636;186803;207244;649756
k79_9247	
k79_13819	2;1239
k79_27602	
k79_60	
k79_13820	2;1239;186801;3085636;186803;207244;649756
k79_4623	2;1239;186801;186802;31979;1485
k79_27603	2;1239;186801;3085636;186803;2569097;39488
k79_61	2;1239;186801;186802;216572;1263;2564099
k79_4624	2;1239;186801;3085636;186803;841;2763062
k79_27604	2;976;200643;171549;2005525;375288;46503
k79_62	
k79_13821	2;1239;186801;186802;216572;1263;2564099
k79_4625	
k79_27605	2;1239;186801
k79_27606	2;976;200643;171549;815;816;28111
k79_4626	2;29547;3031852;213849;2808963
k79_63	2;976;200643;171549;815;909656;821
k79_13822	2;976;200643;171549;815;909656
k79_27607	2;1239;186801;3085636;186803;2569097;39488
k79_64	2;976;200643;171549;815;909656;821
k79_13823	2;1239;186801;3085636;186803;2569097;39488
k79_27608	2;976;200643;171549;815;909656;821
k79_4627	2;976;200643;171549;815;909656;821
k79_65	2;976;200643;171549;815;909656
k79_13824	
k79_4628	2;976;200643;171549;815;909656;821
k79_66	2;1239;186801;186802;186806;1730;39496
k79_27609	2;976;200643;171549;815;816;817
k79_13825	
k79_67	2;1239;186801;3085636;186803;207244;649756
k79_4629	
k79_13826	
k79_68	
k79_27610	2;1239;186801;3085636;186803;207244;649756
k79_9248	2;976;200643;171549;815;909656;821
k79_27611	2;1239;186801;3085636;186803;207244;649756
k79_69	
k79_4630	2;1239
k79_4631	2;976;200643;171549;815;909656;821
k79_9249	2;1239;186801;3085636;186803;2569097;39488
k79_13827	
k79_70	2;1239;186801;3085636;186803;2569097;39488
k79_4632	2;1239;186801;3085636;186803
k79_9250	2;1239;186801;3085636;186803;207244;649756
k79_71	
k79_9251	2;1239;186801;3085636;186803;28050;39485
k79_4633	2;1239;186801;3085636;186803;2569097;39488
k79_27612	2;203691;203692;136;2845253;157;163
k79_72	
k79_9252	2;1239;186801;186802;216572;1263;2564099
