task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
88	75/7329a5	1215845	BINNING:VAMB_BIN (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:24:02.439	3m 29s	3m 28s	1180.6%	2.3 GB	22.8 GB	367.6 MB	97.2 MB
94	e4/b1de47	1237249	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011348-MEGAHIT-TaxVamb)	COMPLETED	0	2026-05-25 16:27:31.423	16.2s	12.7s	161.3%	7 MB	19.7 MB	120.4 MB	3.5 MB
80	c9/0e02ca	1237239	BINNING:VAMB_BIN (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:27:31.276	44.8s	43.8s	1067.6%	1.4 GB	22 GB	219 MB	24.2 MB
95	43/9ce240	1255772	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011349-MEGAHIT-TaxVamb)	COMPLETED	0	2026-05-25 16:28:16.081	2.9s	918ms	264.5%	6.9 MB	19.6 MB	18.2 MB	430.6 KB
96	d8/31b0de	1257391	BIN_REFINEMENT:DASTOOL_DASTOOL (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:28:19.008	25.6s	23.7s	442.0%	346.9 MB	4 GB	736.9 MB	190.5 MB
98	9b/8ea893	1266590	BIN_REFINEMENT:DASTOOL_DASTOOL (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:28:44.644	1m 52s	1m 50s	268.9%	366.4 MB	4.3 GB	1.4 GB	369.2 MB
97	d2/b21d04	1257397	BIN_REFINEMENT:DASTOOL_DASTOOL (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:28:19.015	3m 24s	3m 22s	268.3%	371 MB	5.3 GB	2.5 GB	480.3 MB
100	67/7d0ac5	1282933	BIN_DEREPLICATION:DREP_COMPARE (dereplicated_bins)	COMPLETED	0	2026-05-25 16:34:03.595	32.5s	31.4s	118.8%	223.1 MB	3.1 GB	2.8 GB	1.8 MB
99	aa/7386ec	1285352	BIN_EVALUATION:CHECKM2_PREDICT (post_refinement_bins)	COMPLETED	0	2026-05-25 16:34:59.050	3m 2s	3m 1s	335.1%	5.5 GB	129.5 GB	7 GB	603.6 MB
101	ea/82f1cd	1298389	BIN_DEREPLICATION:MODIFY_CHECKM_FOR_DREP (post_refinement_bins)	COMPLETED	0	2026-05-25 16:38:00.829	1.4s	442ms	330.2%	8.8 MB	1 GB	23.2 MB	2.5 KB
102	17/0d7de7	1298529	BIN_DEREPLICATION:DREP_DEREPLICATE (dereplicated_bins)	COMPLETED	0	2026-05-25 16:38:02.232	12.9s	11.8s	325.0%	268 MB	5.7 GB	4.9 GB	53.2 MB
103	6a/164dec	1300601	BIN_DEREPLICATION:RENAME_DEREPLICATED_BINS (dereplicated_bins)	COMPLETED	0	2026-05-25 16:38:21.779	956ms	17ms	129.7%	0	0	179.1 KB	208 B
104	60/77d92f	1300792	BIN_COVERAGE:COVERM_GENOME_ORIGINAL (original_reads)	COMPLETED	0	2026-05-25 16:38:34.412	1m 31s	1m 30s	305.8%	3.6 GB	6.3 GB	18.5 GB	13.7 GB
114	0a/b3c76a	1313406	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.21)	COMPLETED	0	2026-05-25 16:40:05.119	27m 42s	27m 41s	128.7%	7.9 GB	12.5 GB	89.9 GB	59.9 MB
105	b9/bea724	1302569	BIN_CLASSIFICATION:GTDBTK_CLASSIFYWF (dereplicated_bins)	COMPLETED	0	2026-05-25 16:38:53.474	41m 30s	41m 29s	95.3%	85.4 GB	131.5 GB	13 GB	402.3 MB
112	21/3f6ac9	1388283	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.16)	COMPLETED	0	2026-05-25 17:07:47.163	14m 31s	14m 28s	217.5%	8 GB	12.5 GB	90.6 GB	75.7 MB
110	fb/240963	1453040	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.10)	COMPLETED	0	2026-05-25 17:20:23.519	9m 19s	9m 18s	285.4%	8 GB	12.6 GB	89.7 GB	49.2 MB
109	f9/d3c375	1470486	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_MetaBinner_dRep.6_sub)	COMPLETED	0	2026-05-25 17:22:18.661	12m 14s	12m 13s	299.6%	8 GB	12.5 GB	90.4 GB	87 MB
118	3c/840f39	1528699	BIN_ANNOTATION:BAKTA_BAKTA (ERR011349_MEGAHIT_TaxVamb_dRep.1)	COMPLETED	0	2026-05-25 17:29:42.643	8m 57s	8m 56s	293.4%	8.3 GB	12.8 GB	89.9 GB	50.5 MB
