contigs	predictions
k79_73146	2;976;200643;171549;815;816
k79_48781	2;1239;186801;3085636;186803;1766253;39491;657317
k79_61	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36613	2;1239;526524;526525;2810280;2678885;1982626
k79_73147	2;1239;186801;186802;216572;216851;853
k79_12255	2;1239;186801;3085636;186803;189330;88431
k79_48782	2;1239;186801;3085636;186803
k79_36614	
k79_12256	
k79_48783	2;976;200643;171549;815;909656;821
k79_24419	
k79_36615	2;1239;186801;3085636;186803;2569097;39488
k79_62	2157;28890;183925;2158;2159;2172;2173
k79_24420	2;1239;186801;3085636;186803;2316020;33038
k79_12257	2;1239;186801;186802;216572;216851
k79_12258	2;74201;203494;48461;1647988;239934;239935
k79_63	2;1239;186801;3085636;186803;2316020;33039;657313
k79_24421	2;1239;186801;186802;216572;2892396
k79_36616	
k79_24422	2;1239;186801;3085636;186803;2316020;33039;657313
k79_12259	2;976;200643;171549;815;909656;387090
k79_60968	2157;28890;183925;2158;2159;2172;2173
k79_60969	
k79_24423	2;976;200643;171549;2005525;375288;823
k79_36617	2;1239;186801;3085636;186803;207244;649756
k79_12260	2;1239;186801;186802;186806;1730;39496
k79_24424	2;1239;186801;186802;186806;1730;39496
k79_60970	
k79_85314	2;1239;186801;186802;31979;1485;46867
k79_12261	
k79_36618	2;1239;186801;3085636;186803;572511;418240;1121115
k79_36619	2;976;200643;171549;815;816;817
k79_73148	
k79_60971	
k79_85315	2;976;200643;171549;815;909656;821
k79_12262	
k79_36620	2;74201;203494;48461;1647988;239934;239935
k79_73149	2;1239;186801;3085636;186803;2569097;39488
k79_60972	2;1239;186801;3085636;186803;2316020;46228;471875
k79_85316	
k79_24425	2;976;200643;171549;815;816;28111
k79_12263	2;1239
k79_36621	2;976;200643;171549;2005525;375288
k79_60973	2;1239;186801;186802;216572
k79_36622	2;976;200643;171549;815;816;28111
k79_24426	2;976;200643;171549;2005525;375288;46503
k79_85317	2;1239;186801;3085636;186803;2316020;33039;657313
k79_12264	2;976;200643;171549;815;909656;821
k79_24427	
k79_85318	
k79_36623	2;1239;186801;186802;186806;1730;39496
k79_60974	2;1239;186801;186802;216572;2834348;2666138
k79_36624	2;976;200643;171549;815;816;820
k79_24428	
k79_60975	2;1239;186801;3085636;186803;572511;1322;537007
k79_73150	2;201174;1760;85004;31953;1678;216816;1679
k79_36625	
k79_73151	
k79_36626	
k79_48784	2157;28890;183925;2158;2159;2172;2173
k79_73152	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36627	
k79_24429	2;1239;186801;3085636;186803;2944195;2763669
k79_48785	2;1239;186801;186802;186806;1730;39496
k79_60976	2;976;200643;171549;171552;577309;454155;762982
k79_36628	2;1239;186801;3085636;186803;2944152;2763670
k79_60977	2;976;200643;171549;815;909656;821
k79_48786	2;976;200643;171549;815;816;28111
k79_36629	
k79_24430	2;1239;186801;3085636;186803;2569097;39488
k79_60978	
k79_73153	
k79_36630	
k79_85319	2;976;200643;171549;2005525;375288;823
k79_24431	2;976;200643;171549;2005525;375288;823
k79_60979	
k79_73154	
k79_85320	
k79_36631	2;1239;526524;526525;2810280;2678885;1982626
k79_48787	2;1239;186801;3085636;186803;33042;410072
k79_48788	2;976;200643;171549;2005525;375288;823
k79_36632	
k79_36633	2;976;200643;171549;2005525;375288;823
k79_48789	2;1239;186801;3085636;186803;207244;649756
k79_24432	2;1239;186801;3085636;186803;207244;649756
k79_36634	2;1239;186801;3085636;186803;207244;649756
k79_24433	2;976;200643;171549;815;909656;821
k79_48790	2;1239;909932;1843488;909930;33024;33025
k79_85321	2;976;200643;171549;815;816;820
k79_36635	2;1239;186801;186802;216572;1263;1160721
k79_24434	2;976;200643;171549;815;816;28111
k79_60980	2;976;200643;171549;815;816;291644
k79_36636	2;1239;186801;3085636;186803;207244;649756
k79_85322	2;1239;186801;3085636;186803;2316020;46228;471875
k79_24435	2;976;200643;171549;2005525;375288;46503
k79_60981	2;1239;186801;3085636;186803;572511;418240;1121115
k79_85323	2;976;200643;171549;815;909656;821
k79_36637	
k79_60982	2;74201;203494;48461;1647988;239934;239935
k79_73155	2;1239;526524;526525;2810280;2678885;1982626
k79_48791	2;1239;186801;3085636;186803;1766253;39491;657317
k79_36638	2;1239;526524;526525;2810280;2678885;1982626
k79_85324	
k79_36639	2;1239;186801;3085636;186803;1766253;39491;657318
k79_60983	2;976;117743;200644;49546;336276;3028318
k79_73156	2;1239;186801;3085636;186803;572511;418240;1121115
k79_85325	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36640	2;1239;186801;186802;216572;216851;411483
k79_60984	2;1239;186801;186802;216572;3079925;3029274
k79_85326	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36641	2;1239;186801;186802;186806;1730;39496
k79_24436	2;1239;186801;3085636;186803;1766253;39491
k79_73157	2;1239;526524;526525;2810280;2678885;1982626
k79_64	2;1239;186801;186802;186806;1730;39496
k79_12265	2;1239;186801;3082720
k79_73158	2;976;200643;171549;815;816;820
k79_65	
k79_36642	2;976;200643;171549;815;816;820
k79_24437	2;1224;28216;80840;80864;28065;2509614
k79_85327	2;976;200643;171549;815;816;28116
k79_36643	
k79_73159	
k79_12266	2;976;200643;171549;815;816;820
k79_73160	
k79_24438	2;1239;526524;526525;2810280;2678885;1982626
k79_36644	2;976;200643;171549;815;816;28111
k79_12267	2;976;200643;171549;815;909656;821
k79_73161	2;1239;186801;186802;216572;216851;853;718252
k79_24439	2;1239;186801;3085636;186803;189330;39486
k79_36645	
k79_66	2;1239;526524;526525;2810280;2678885;1982626
k79_48792	2;1239;186801;3085636;186803;572511;418240;1121115
k79_12268	2;1239;186801;186802;216572;1263;657323
k79_36646	2;1239;186801;3085636;186803;2316020;33039;657313
k79_48793	2;1239;186801;3085636;186803;2316020;33039;657313
k79_24440	2;1239;186801;3085636;186803;1766253;39491
k79_73162	2;1239;186801;186802;216572
k79_12269	
k79_24441	2;201174;1760;85004;31953;1678;1686
k79_36647	2;1239;186801;3085636;186803;2316020;46228;471875
k79_48794	2;976;200643;171549;815;909656;821
k79_73163	2;1239;186801;3085636;186803;189330;88431
k79_85328	
k79_36648	2;976;200643;171549;815;909656;821
k79_48795	
k79_67	2;1239;186801;3085636;186803;33042;410072
k79_73164	2;976;200643;171549;815;909656
k79_68	
k79_48796	2;1239;186801;3085636;186803;3024823;2785025
k79_12270	2;1239;526524;526525;2810280;2678885;1982626
k79_73165	2;976;200643;171549;2005525;375288;823
k79_36649	2;976;200643;171549;2005525;375288;823
k79_69	2;1239;186801;186802;216572;216851;853
