Contig	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Mean	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz RPKM	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Covered Fraction
k79_84419	5.3473897	6.4988194	1
k79_12077	4.701852	6.539185	1
k79_46	11.318966	8.669746	0.8947368
k79_48263	11.735849	10.966758	0.92578125
k79_12078	3.9417477	5.152085	1
k79_47	13.78125	12.635336	1
k79_84420	3.6062176	4.3848763	1
k79_48	5.4468083	5.753053	1
k79_48264	4.4593496	5.0640154	1
k79_12079	19.023148	19.724752	1
k79_24135	7.1465516	9.308529	1
k79_49	5.15625	5.3618984	1
k79_84421	3.7142856	4.994876	1
k79_50	2.4782608	3.7289565	1
k79_84422	4.2704916	4.7921968	1
k79_84423	7.4774776	7.6833334	1
k79_72338	5.770049	7.308127	1
k79_48265	6.085044	7.351343	1
k79_84424	2.3010752	4.126235	1
k79_72339	4.304348	6.0538874	1
k79_48266	5.446429	7.271308	1
k79_84425	2.857143	3.6328804	1
k79_48267	4.440758	5.277237	1
k79_48268	9.382113	10.651127	1
k79_12080	11.747144	15.07782	1
k79_72340	5.1126566	6.346044	1
k79_12081	7.8781514	8.527906	1
k79_84426	7.074369	8.883057	1
k79_84427	5.885906	7.7128854	1
k79_51	6.78041	9.136524	1
k79_48269	4.7649918	6.144162	1
k79_48270	4.75	5.277237	1
k79_52	4.69403	6.2367344	1
k79_72341	5.803371	7.3281355	1
k79_48271	4.5036497	5.93919	1
k79_60292	12.258481	16.355825	1
k79_53	2.5876288	3.6534715	1
k79_72342	4.2447553	5.1331487	1
k79_60293	5.145161	6.586916	1
k79_84428	8.773231	11.320524	1
k79_60294	2.6280992	4.60412	1
k79_84429	4.749499	6.0253196	1
k79_60295	4.8908596	6.2454276	1
k79_60296	2.7179487	4.5064044	1
k79_54	7.881064	10.089811	1
k79_60297	5.76701	7.1055713	1
k79_84430	4.8448977	6.4774585	1
k79_55	8.578379	9.278485	1
k79_56	2.7311828	3.3009877	1
k79_60298	3.9929245	5.2404623	1
k79_48272	7.732762	10.148533	1
k79_57	3.3628318	4.574943	1
k79_60299	9.977528	8.810115	1
k79_36196	7.921069	10.504214	1
k79_36197	2.5442176	5.401616	1
k79_12082	11.512979	15.425771	1
k79_60300	6.388268	7.3029485	1
k79_48273	5.5189457	7.0200496	1
k79_48274	4.818182	5.476796	1
k79_58	40.510746	50.187027	1
k79_48275	3.178218	5.59261	1
k79_12083	5.406299	7.0251117	1
k79_36198	7.706221	9.455482	0.9823183
k79_12084	3.2704918	5.529458	1
k79_84431	5.425647	6.9977326	0.998006
k79_36199	5.016949	5.2378545	1
k79_84432	2.152381	3.538853	1
